Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
0.66	0.765084	1.23359	0	-1.34111	2.35077	0	3.35462	-0.118719	0	
0.67	0.77853	1.24177	0	-1.40065	2.38271	0	3.41496	-0.143218	0	
0.68	0.791972	1.24995	0	-1.46018	2.41465	0	3.4753	-0.16771	0	
0.69	0.805409	1.25814	0	-1.51968	2.44657	0	3.53562	-0.192195	0	
0.7	0.818842	1.26633	0	-1.57917	2.47849	0	3.59593	-0.216673	0	
0.71	0.832271	1.27452	0	-1.63864	2.5104	0	3.65622	-0.241146	0	
0.72	0.845697	1.28271	0	-1.6981	2.5423	0	3.71651	-0.265612	0	
0.73	0.859119	1.29091	0	-1.75754	2.57419	0	3.77678	-0.290072	0	
0.74	0.872539	1.2991	0	-1.81697	2.60608	0	3.83704	-0.314526	0	
0.75	0.885956	1.3073	0	-1.87639	2.63796	0	3.8973	-0.338975	0	
0.76	0.89937	1.31549	0	-1.93579	2.66983	0	3.95754	-0.363419	0	
0.77	0.912783	1.32369	0	-1.99519	2.7017	0	4.01777	-0.387858	0	
0.78	0.926193	1.33189	0	-2.05457	2.73357	0	4.078	-0.412291	0	
0.79	0.939602	1.34008	0	-2.11394	2.76543	0	4.13821	-0.43672	0	
0.8	0.953009	1.34828	0	-2.1733	2.79728	0	4.19842	-0.461144	0	
0.81	0.966415	1.35648	0	-2.23265	2.82913	0	4.25862	-0.485563	0	
0.82	0.97982	1.36468	0	-2.29199	2.86097	0	4.31881	-0.509978	0	
0.83	0.993223	1.37287	0	-2.35133	2.89281	0	4.37899	-0.534389	0	
0.84	1.00663	1.38107	0	-2.41065	2.92465	0	4.43917	-0.558795	0	
0.85	1.02003	1.38927	0	-2.46997	2.95648	0	4.49933	-0.583198	0	
0.86	1.03343	1.39747	0	-2.52927	2.98831	0	4.55949	-0.607596	0	
0.87	1.04683	1.40566	0	-2.58857	3.02014	0	4.61965	-0.631991	0	
0.88	1.06022	1.41386	0	-2.64787	3.05196	0	4.67979	-0.656382	0	
0.89	1.07362	1.42205	0	-2.70715	3.08378	0	4.73994	-0.68077	0	
0.9	1.08702	1.43025	0	-2.76643	3.11559	0	4.80007	-0.705153	0	
0.91	1.10042	1.43845	0	-2.8257	3.1474	0	4.8602	-0.729534	0	
0.92	1.11381	1.44664	0	-2.88497	3.17921	0	4.92032	-0.753911	0	
0.93	1.12721	1.45483	0	-2.94423	3.21102	0	4.98044	-0.778285	0	
0.94	1.14061	1.46303	0	-3.00348	3.24282	0	5.04055	-0.802656	0	
0.95	1.154	1.47122	0	-3.06273	3.27462	0	5.10065	-0.827023	0	
0.96	1.1674	1.47941	0	-3.12197	3.30642	0	5.16075	-0.851388	0	
0.97	1.18079	1.48761	0	-3.18121	3.33822	0	5.22084	-0.875749	0	
0.98	1.19419	1.4958	0	-3.24044	3.37001	0	5.28093	-0.900108	0	
0.99	1.20758	1.50399	0	-3.29966	3.40181	0	5.34102	-0.924464	0	
1	1.22098	1.51218	0	-3.35889	3.4336	0	5.4011	-0.948817	0	
1.01	1.23437	1.52037	0	-3.4181	3.46538	0	5.46117	-0.973167	0	
1.02	1.24777	1.52856	0	-3.47731	3.49717	0	5.52124	-0.997515	0	
1.03	1.26116	1.53675	0	-3.53652	3.52895	0	5.58131	-1.02186	0	
1.04	1.27455	1.54494	0	-3.59572	3.56073	0	5.64137	-1.0462	0	
1.05	1.28795	1.55312	0	-3.65492	3.59251	0	5.70143	-1.07054	0	
1.06	1.30134	1.56131	0	-3.71412	3.62429	0	5.76148	-1.09488	0	
1.07	1.31474	1.5695	0	-3.77331	3.65607	0	5.82153	-1.11922	0	
1.08	1.32813	1.57768	0	-3.83249	3.68784	0	5.88157	-1.14355	0	
1.09	1.34153	1.58587	0	-3.89167	3.71962	0	5.94162	-1.16788	0	
1.1	1.35492	1.59405	0	-3.95085	3.75139	0	6.00165	-1.19221	0	
1.11	1.36832	1.60224	0	-4.01003	3.78316	0	6.06169	-1.21654	0	
1.12	1.38171	1.61042	0	-4.0692	3.81493	0	6.12172	-1.24086	0	
1.13	1.3951	1.6186	0	-4.12837	3.84669	0	6.18174	-1.26518	0	
1.14	1.4085	1.62679	0	-4.18753	3.87846	0	6.24177	-1.2895	0	
1.15	1.42189	1.63497	0	-4.24669	3.91022	0	6.30178	-1.31382	0	
1.16	1.43529	1.64315	0	-4.30585	3.94199	0	6.3618	-1.33814	0	
1.17	1.44869	1.65133	0	-4.36501	3.97375	0	6.42181	-1.36245	0	
1.18	1.46208	1.65951	0	-4.42416	4.00551	0	6.48182	-1.38677	0	
1.19	1.47548	1.66769	0	-4.48331	4.03727	0	6.54183	-1.41108	0	
1.2	1.48887	1.67587	0	-4.54245	4.06902	0	6.60183	-1.43539	0	
1.21	1.50227	1.68404	0	-4.6016	4.10078	0	6.66183	-1.45969	0	
1.22	1.51566	1.69222	0	-4.66074	4.13254	0	6.72183	-1.484	0	
1.23	1.52906	1.7004	0	-4.71988	4.16429	0	6.78182	-1.5083	0	
1.24	1.54246	1.70858	0	-4.77901	4.19604	0	6.84182	-1.53261	0	
1.25	1.55585	1.71675	0	-4.83814	4.2278	0	6.9018	-1.55691	0	
1.26	1.56925	1.72493	0	-4.89727	4.25955	0	6.96179	-1.58121	0	
1.27	1.58265	1.7331	0	-4.9564	4.2913	0	7.02177	-1.6055	0	
1.28	1.59605	1.74127	0	-5.01552	4.32304	0	7.08175	-1.6298	0	
1.29	1.60944	1.74945	0	-5.07465	4.35479	0	7.14173	-1.65409	0	
1.3	1.62284	1.75762	0	-5.13377	4.38654	0	7.20171	-1.67839	0	
1.31	1.63624	1.76579	0	-5.19289	4.41829	0	7.26168	-1.70268	0	
1.32	1.64964	1.77397	0	-5.252	4.45003	0	7.32165	-1.72697	0	
1.33	1.66304	1.78214	0	-5.31111	4.48177	0	7.38162	-1.75126	0	
1.34	1.67643	1.79031	0	-5.37023	4.51352	0	7.44159	-1.77554	0	
1.35	1.68983	1.79848	0	-5.42933	4.54526	0	7.50155	-1.79983	0	
1.36	1.70323	1.80665	0	-5.48844	4.577	0	7.56151	-1.82411	0	
1.37	1.71663	1.81482	0	-5.54755	4.60874	0	7.62147	-1.8484	0	
1.38	1.73003	1.82299	0	-5.60665	4.64048	0	7.68143	-1.87268	0	
1.39	1.74343	1.83116	0	-5.66575	4.67222	0	7.74138	-1.89696	0	
1.4	1.75683	1.83932	0	-5.72485	4.70396	0	7.80133	-1.92124	0	
1.41	1.77023	1.84749	0	-5.78395	4.7357	0	7.86128	-1.94551	0	
1.42	1.78363	1.85566	0	-5.84304	4.76743	0	7.92123	-1.96979	0	
1.43	1.79703	1.86382	0	-5.90214	4.79917	0	7.98118	-1.99407	0	
1.44	1.81043	1.87199	0	-5.96123	4.83091	0	8.04112	-2.01834	0	
1.45	1.82383	1.88016	0	-6.02032	4.86264	0	8.10106	-2.04261	0	
1.46	1.83723	1.88832	0	-6.07941	4.89437	0	8.161	-2.06688	0	
1.47	1.85064	1.89648	0	-6.13849	4.92611	0	8.22094	-2.09116	0	
1.48	1.86404	1.90465	0	-6.19758	4.95784	0	8.28088	-2.11542	0	
1.49	1.87744	1.91281	0	-6.25666	4.98957	0	8.34081	-2.13969	0	
1.5	1.89084	1.92098	0	-6.31574	5.0213	0	8.40075	-2.16396	0	
1.51	1.90424	1.92914	0	-6.37482	5.05303	0	8.46068	-2.18823	0	
1.52	1.91765	1.9373	0	-6.4339	5.08476	0	8.52061	-2.21249	0	
1.53	1.93105	1.94546	0	-6.49298	5.11649	0	8.58053	-2.23676	0	
1.54	1.94445	1.95362	0	-6.55206	5.14822	0	8.64046	-2.26102	0	
1.55	1.95785	1.96178	0	-6.61113	5.17995	0	8.70038	-2.28528	0	
1.56	1.97126	1.96995	0	-6.6702	5.21168	0	8.76031	-2.30954	0	
1.57	1.98466	1.97811	0	-6.72927	5.24341	0	8.82023	-2.3338	0	
1.58	1.99807	1.98627	0	-6.78834	5.27513	0	8.88015	-2.35806	0	
1.59	2.01147	1.99442	0	-6.84741	5.30686	0	8.94006	-2.38232	0	
1.6	2.02487	2.00258	0	-6.90648	5.33858	0	8.99998	-2.40658	0	
1.61	2.03828	2.01074	0	-6.96554	5.37031	0	9.05989	-2.43083	0	
1.62	2.05168	2.0189	0	-7.02461	5.40203	0	9.11981	-2.45509	0	
1.63	2.06509	2.02706	0	-7.08367	5.43376	0	9.17972	-2.47934	0	
1.64	2.07849	2.03522	0	-7.14273	5.46548	0	9.23963	-2.5036	0	
1.65	2.0919	2.04337	0	-7.20179	5.4972	0	9.29954	-2.52785	0	
1.66	2.1053	2.05153	0	-7.26085	5.52893	0	9.35944	-2.5521	0	
1.67	2.11871	2.05968	0	-7.31991	5.56065	0	9.41935	-2.57635	0	
1.68	2.13212	2.06784	0	-7.37897	5.59237	0	9.47925	-2.6006	0	
1.69	2.14552	2.076	0	-7.43803	5.62409	0	9.53916	-2.62485	0	
1.7	2.15893	2.08415	0	-7.49708	5.65581	0	9.59906	-2.6491	0	
1.71	2.17233	2.09231	0	-7.55613	5.68753	0	9.65896	-2.67335	0	
1.72	2.18574	2.10046	0	-7.61519	5.71925	0	9.71886	-2.69759	0	
1.73	2.19915	2.10861	0	-7.67424	5.75097	0	9.77875	-2.72184	0	
